Participant_ID,Keyword,Segment_1_Best_Match,Segment_1_Min_Distance,Segment_2_Best_Match,Segment_2_Min_Distance,Segment_3_Best_Match,Segment_3_Min_Distance
1,బట్ట,బట్ట,26876.50843473643,బట్ట,32514.006407670364,బట్ట,27071.60954276672
1,పట్ట,బట్ట,26728.107306367307,బట్ట,25302.23916955756,బట్ట,20597.251351679966
1,పాడు,పాడు,27153.32265887277,పాడు,30574.54597443399,పాడు,27009.280377683008
1,పాటు,పాడు,26252.911983693568,పాడు,25117.796287908535,పాడు,22412.020544754916
1,తన్ను,తన్ను,34825.56105171672,తన్ను,37048.45841195294,తన్ను,34465.0004386363
1,కాటు,కాటు,29758.986980628495,కాటు,19184.91725643144,కాటు,20595.089756701214
1,గాటు,కాటు,35841.29012949368,కాటు,39216.145623072225,కాటు,20067.825479715517
1,ఫాలు,వాలు,33685.887343649534,ఫాలు,32545.563082251283,ఫాలు,26702.703215960577
2,బట్ట,పట్ట,26230.87076589112,బట్ట,12505.50330380672,అట్ట,186900.7015832458
2,పట్ట,పట్ట,28379.109281274465,పట్ట,36257.580720075544,పట్ట,17008.443310253064
2,పాడు,పాడు,19122.648131069986,పాడు,13694.451113672043,పావు,187172.1538074522
2,పాటు,పాడు,26993.068984977897,పాడు,30030.74093179699,పాడు,15134.849765666162
2,తన్ను,తన్ను,24090.907979656535,తన్ను,11537.765005969573,తన్ను,9334.856114147862
2,కాటు,కాటు,13963.777119608201,గాటు,12559.745383242871,కాటు,194001.8238920639
2,గాటు,కాటు,11765.104949167635,కాటు,16736.87602046494,కాటు,194001.8238920639
2,ఫాలు,వాలు,25444.408249708937,వాలు,21691.57112376539,ఆలు,179129.07872291698
3,బట్ట,బట్ట,20024.826725656098,పట్ట,29531.21020384397,పట్ట,19385.213819044307
3,పట్ట,బట్ట,23851.595761492372,పట్ట,32073.251517116274,బట్ట,28234.605216696942
3,పాడు,పాడు,23805.28635687816,పాడు,24440.37128218301,పాడు,23753.412770502735
3,పాటు,పాడు,26443.08415867308,పాడు,23660.147451448804,పాడు,23020.82154078499
3,తన్ను,తన్ను,24485.918484764923,తన్ను,31103.28030142147,తన్ను,30916.622798366498
3,కాటు,కాటు,21491.668178696553,కాటు,19656.92775673977,కాటు,21518.38654276711
3,గాటు,కాటు,19339.32764619845,కాటు,16863.342969045327,కాటు,15251.876125060633
3,ఫాలు,వాలు,33167.886034540556,వాలు,30032.061526516343,ఫాలు,29109.716957556364
4,బట్ట,బట్ట,25986.832975489604,పట్ట,29713.371448616133,అట్ట,53824.235605652175
4,పట్ట,బట్ట,28977.69158861662,పట్ట,30037.97907723959,అట్ట,62819.8626567263
4,పాడు,పాడు,25595.50584256462,పాడు,33706.440329132885,పాడు,24728.244965081783
4,పాటు,పాడు,40560.830109206174,పాటు,39173.699363592656,పావు,48647.85844712782
4,తన్ను,తన్ను,31422.388179983085,తన్ను,34529.77551590473,దన్ను,76448.87746886496
4,కాటు,కాటు,27397.617065231218,గాటు,52979.122455967685,కాటు,31017.68577091933
4,గాటు,కాటు,37196.39552257479,కాటు,39721.44785813882,ఆటు,36580.67046672525
4,ఫాలు,ఫాలు,37872.64246670464,వాలు,29351.07546337698,వాలు,37088.66314087762
5,బట్ట,బట్ట,21752.520277651594,బట్ట,26299.311700602408,పట్ట,18019.845278514123
5,పట్ట,బట్ట,25487.496664280974,పట్ట,21965.618398053863,పట్ట,21720.84283579228
5,పాడు,పాడు,28466.38355058166,పాడు,35919.468034524754,పాడు,21988.89513866964
5,పాటు,పాడు,28536.591029739684,పాడు,25453.20257031375,పాడు,19861.876589845764
5,తన్ను,తన్ను,31060.68221249172,తన్ను,33674.25256901268,తన్ను,26311.89845466847
5,కాటు,కాటు,32076.931924769997,కాటు,25527.279217094383,కాటు,14043.265017459338
5,గాటు,కాటు,32023.13881720433,కాటు,16916.73643726991,కాటు,14003.653142730172
5,ఫాలు,ఫాలు,41490.06746522119,వాలు,27745.051413394398,ఫాలు,26481.06667273565
6,బట్ట,బట్ట,26823.798660112865,పట్ట,34081.88811930221,బట్ట,23608.05938156743
6,పట్ట,పట్ట,27397.099589004207,పట్ట,25343.08045642394,బట్ట,14340.967452812198
6,పాడు,పాటు,26978.720340915945,పాడు,35571.59493171909,పాడు,17670.61808905599
6,పాటు,పాడు,29917.542864883784,పాడు,56971.29558476666,పాడు,24824.205196961346
6,తన్ను,తన్ను,52682.56805743985,తన్ను,41183.183051396714,తన్ను,31384.906275993857
6,కాటు,కాటు,29172.707953961162,కాటు,29596.374031508538,గాటు,48216.033365778945
6,గాటు,గాటు,48894.57417993802,గాటు,43012.93336389542,కాటు,14285.62281394709
6,ఫాలు,ఫాలు,44629.37638216344,ఫాలు,44431.100352031666,ఫాలు,28291.120239097967
7,బట్ట,బట్ట,17765.08849162162,బట్ట,21672.182633112825,బట్ట,14460.365306781288
7,పట్ట,బట్ట,20608.956083481982,బట్ట,14699.096594181325,బట్ట,20910.150292688966
7,పాడు,పాడు,34525.14113476298,పాడు,31740.090218161953,పాటు,30698.52317425763
7,పాటు,పాడు,34086.14772442335,పాడు,28840.658351767102,పాడు,28151.927370121997
7,తన్ను,తన్ను,29039.48106037344,తన్ను,27833.44690180888,తన్ను,25606.24241262941
7,కాటు,కాటు,35213.52024743578,కాటు,32669.400450506982,కాటు,13694.99034098338
7,గాటు,కాటు,41331.93886393248,కాటు,35082.18841630059,కాటు,26068.1841880247
7,ఫాలు,వాలు,29821.352390874374,వాలు,30721.45789618519,వాలు,28897.923176903496
9,బట్ట,బట్ట,18632.924282050473,పట్ట,23120.29722347072,పట్ట,20879.970491864555
9,పట్ట,బట్ట,16939.82551547099,పట్ట,25285.292111206614,పట్ట,15502.955079271762
9,పాడు,పాడు,24526.18095497208,పాడు,28857.341345789235,పాడు,20090.220387093217
9,పాటు,పాడు,24763.42813068145,పాడు,23187.375902443233,పాడు,22393.816074560087
9,తన్ను,తన్ను,28247.744891367493,తన్ను,26954.703348683313,తన్ను,21142.73854091069
9,కాటు,కాటు,24452.43911451585,కాటు,19431.49903412589,కాటు,17541.600813451318
9,గాటు,కాటు,24788.52322590236,గాటు,25557.101249411626,కాటు,14042.969638361446
9,ఫాలు,వాలు,33428.67172123884,వాలు,28020.072008483927,వాలు,25946.41257435002
14,బట్ట,పట్ట,24122.445335643628,బట్ట,17923.34646105537,బట్ట,10221.481255142544
14,పట్ట,పట్ట,21885.081587922523,పట్ట,17608.85756154213,బట్ట,14161.12196860987
14,పాడు,పాడు,24339.87504016837,పాడు,19789.002706259194,పాడు,19905.709760366735
14,పాటు,పాడు,23995.708878982823,పాడు,21538.400046876388,పాడు,19311.446053275344
14,తన్ను,తన్ను,29174.2415771746,తన్ను,21128.02750751135,తన్ను,20558.872075979656
14,దన్ను,తన్ను,27697.23034763625,తన్ను,19324.024960722192,తన్ను,18209.438929074437
14,కాటు,కాటు,23819.22319737306,గాటు,22231.17309771839,కాటు,11425.216701991494
14,గాటు,కాటు,20504.648262828774,గాటు,23247.917610423792,కాటు,16123.339459480107
14,ఫాలు,వాలు,29409.133275710024,వాలు,20721.80273010872,ఫాలు,19308.049373166214
14,వాలు,వాలు,35034.71648153786,వాలు,24011.21944950958,ఫాలు,23664.405659996868
15,బట్ట,బట్ట,17471.42077670274,పట్ట,15477.183163164067,బట్ట,18168.183120330476
15,పట్ట,పట్ట,24182.75336271768,పట్ట,17049.39071592297,బట్ట,13386.969164254597
15,పాడు,పాడు,23809.34110567151,పాడు,22719.99672429379,పాడు,17926.092159056465
15,పాటు,పాడు,24887.458920454617,పాడు,16173.699763975274,పాడు,19638.98717531896
15,తన్ను,తన్ను,26055.69838534267,తన్ను,20385.043137943987,తన్ను,18551.7134955292
15,దన్ను,తన్ను,26685.59125539457,తన్ను,19215.27469988612,తన్ను,18290.16517090506
15,కాటు,కాటు,18769.488956517635,కాటు,19254.462091995265,కాటు,11178.239665091145
15,గాటు,కాటు,20659.49962105183,కాటు,17786.902056067982,కాటు,11591.355511415939
15,ఫాలు,వాలు,44326.66999543778,వాలు,22432.971580272715,ఫాలు,21807.342768716153
15,వాలు,వాలు,29961.820041764968,వాలు,22929.5385783653,ఫాలు,21958.584278080092
17,బట్ట,బట్ట,19951.662132373214,పట్ట,22427.78599783758,బట్ట,16870.112799335733
17,పట్ట,బట్ట,24507.245579384442,పట్ట,16671.49148333814,పట్ట,16618.38282189722
17,పాడు,పాడు,24258.14149108651,పాడు,18792.35804491917,పాడు,19887.63470229034
17,పాటు,పాడు,22965.282261351214,పాడు,21480.043398551188,పాడు,20263.595036389812
17,తన్ను,తన్ను,33811.38898655876,తన్ను,24006.729428352086,తన్ను,20085.5503720664
17,దన్ను,తన్ను,34876.103476102806,తన్ను,24953.635262156815,తన్ను,24439.3524207407
17,కాటు,కాటు,21779.572891669464,కాటు,14082.147878431817,కాటు,12026.39330844203
17,గాటు,కాటు,29741.120227928623,కాటు,21244.11883122274,కాటు,15508.21842835902
17,ఫాలు,ఫాలు,39346.09891138319,వాలు,26643.289359324262,ఫాలు,24902.718965026
17,వాలు,వాలు,31221.513474187534,వాలు,25302.72481936956,ఫాలు,25075.288145067785
